epoch,step,test_direction_accuracy,test_loss,test_mae,test_mse,test_r2,test_rmse,train_direction_accuracy,train_loss,train_mae,train_mse,train_r2,train_rmse,val_direction_accuracy,val_loss,val_mae,val_mse,val_r2,val_rmse
0,9,,,,,,,0.5127458572387695,1.6845654249191284,1.8724145889282227,6.353183746337891,-0.005948305130004883,2.520552158355713,,,,,,
0,19,,,,,,,0.51468425989151,1.5699032545089722,1.755968689918518,5.47965145111084,-0.014600396156311035,2.3408656120300293,,,,,,
0,21,,,,,,,,,,,,,0.46832162141799927,2.215846061706543,2.408280611038208,10.844666481018066,-0.03744131326675415,3.1481454372406006
1,29,,,,,,,0.5779078602790833,1.833699107170105,2.0203495025634766,7.455888271331787,-0.16322946548461914,2.7305471897125244,,,,,,
1,39,,,,,,,0.4865061938762665,1.682325005531311,1.870160698890686,6.239812850952148,-0.04745376110076904,2.4979617595672607,,,,,,
1,43,,,,,,,,,,,,,0.46906721591949463,2.219560146331787,2.4115631580352783,10.881919860839844,-0.04053739830851555,3.1529929637908936
2,49,,,,,,,0.5742502212524414,1.7415897846221924,1.9307026863098145,6.477384090423584,-0.023444414138793945,2.5450706481933594,,,,,,
2,59,,,,,,,0.5201170444488525,1.5105704069137573,1.6962083578109741,5.4341044425964355,-0.01856696605682373,2.3311166763305664,,,,,,
2,65,,,,,,,,,,,,,0.46906721591949463,2.218250036239624,2.4103314876556396,10.872163772583008,-0.039382509887218475,3.1514334678649902
3,69,,,,,,,0.531478762626648,1.9231138229370117,2.1137752532958984,7.953476905822754,-0.0033260583877563477,2.820190906524658,,,,,,
3,79,,,,,,,0.5427319407463074,1.5755822658538818,1.7604100704193115,5.607847213745117,-0.011899828910827637,2.368089437484741,,,,,,
3,87,,,,,,,,,,,,,0.4672373831272125,2.2186431884765625,2.4106297492980957,10.877788543701172,-0.03966039419174194,3.1519954204559326
4,89,,,,,,,0.48903509974479675,1.8025182485580444,1.9889156818389893,7.420602798461914,-0.040157198905944824,2.724078416824341,,,,,,
4,99,,,,,,,0.48427215218544006,1.6280616521835327,1.8142954111099243,5.698782444000244,-0.021444201469421387,2.3872122764587402,,,,,,
4,109,,,,,,,0.6416184902191162,1.5462781190872192,1.741697072982788,5.430769920349121,-0.2111363410949707,2.3304011821746826,,,,,,
4,109,,,,,,,,,,,,,0.4707176089286804,2.2175488471984863,2.409581184387207,10.869361877441406,-0.03867270424962044,3.150648355484009
5,119,,,,,,,0.5317750573158264,1.7872710227966309,1.976080060005188,6.944411277770996,-0.014151930809020996,2.6352250576019287,,,,,,
5,129,,,,,,,0.5384615659713745,1.6683909893035889,1.8588937520980835,5.940945625305176,-0.023100614547729492,2.437405586242676,,,,,,
5,131,,,,,,,,,,,,,0.465222030878067,2.2178537845611572,2.409820079803467,10.873002052307129,-0.038839325308799744,3.1509995460510254
6,139,,,,,,,0.531478762626648,1.439156413078308,1.6244845390319824,4.996398448944092,-0.013549447059631348,2.235262393951416,,,,,,
6,149,,,,,,,0.5636363625526428,1.560775876045227,1.7489365339279175,5.6521687507629395,-0.03339385986328125,2.3774290084838867,,,,,,
6,153,,,,,,,,,,,,,0.4683387577533722,2.216949701309204,2.408991575241089,10.864889144897461,-0.03805894777178764,3.1498470306396484
7,159,,,,,,,0.5411764979362488,1.4748681783676147,1.6583861112594604,5.1679158210754395,-0.006253242492675781,2.2733049392700195,,,,,,
7,169,,,,,,,0.5346462726593018,1.8376399278640747,2.0282907485961914,7.1122050285339355,-0.0005552768707275391,2.6668717861175537,,,,,,
7,175,,,,,,,,,,,,,0.4677917957305908,2.2176008224487305,2.409536123275757,10.871570587158203,-0.0385952964425087,3.1506993770599365
8,179,,,,,,,0.5425454378128052,1.7164661884307861,1.9034655094146729,6.899276256561279,-0.002547025680541992,2.6266472339630127,,,,,,
8,189,,,,,,,0.6227941513061523,1.6906960010528564,1.8804709911346436,6.545462131500244,-0.08986437320709229,2.558410167694092,,,,,,
8,197,,,,,,,,,,,,,0.4677917957305908,2.2155895233154297,2.4077086448669434,10.853626251220703,-0.03699704632163048,3.148268461227417
9,199,,,,,,,0.5921052694320679,1.7266039848327637,1.9169626235961914,6.632766246795654,-0.0501631498336792,2.575415849685669,,,,,,
9,209,,,,,,,0.5796783566474915,1.7097007036209106,1.898452877998352,6.516871452331543,-0.02395176887512207,2.552816390991211,,,,,,
9,219,,,,,,,0.42941176891326904,2.267454147338867,2.4604897499084473,10.098149299621582,-0.10411477088928223,3.1777584552764893,,,,,,
9,219,,,,,,,,,,,,,0.4677917957305908,2.215663194656372,2.4077818393707275,10.854571342468262,-0.03705933690071106,3.1483747959136963
10,229,,,,,,,0.5869883298873901,1.7011680603027344,1.8896117210388184,6.518461227416992,-0.01660895347595215,2.5531277656555176,,,,,,
10,239,,,,,,,0.5711159706115723,1.80428147315979,1.9907641410827637,7.8045477867126465,-0.008014798164367676,2.7936620712280273,,,,,,
10,241,,,,,,,,,,,,,0.4683387577533722,2.214602470397949,2.406815528869629,10.845402717590332,-0.03614585101604462,3.147040843963623
11,249,,,,,,,0.4985380172729492,1.6907893419265747,1.8779630661010742,6.252758502960205,-0.018164515495300293,2.500551700592041,,,,,,
11,259,,,,,,,0.5626373887062073,1.6332472562789917,1.82322359085083,6.089311599731445,-0.026534676551818848,2.4676530361175537,,,,,,
11,263,,,,,,,,,,,,,0.4677917957305908,2.215301036834717,2.4073832035064697,10.852692604064941,-0.03668072819709778,3.1479251384735107
12,269,,,,,,,0.5463165640830994,1.7306525707244873,1.9161007404327393,7.22319221496582,-0.007701396942138672,2.6875996589660645,,,,,,
12,279,,,,,,,0.5163874626159668,1.5847113132476807,1.7723315954208374,5.649986267089844,-0.00783085823059082,2.376970052719116,,,,,,
12,285,,,,,,,,,,,,,0.4677917957305908,2.215301036834717,2.407338857650757,10.853422164916992,-0.036671776324510574,3.147953510284424
13,289,,,,,,,0.6323851346969604,1.7921943664550781,1.9812006950378418,7.354104042053223,-0.06730616092681885,2.7118451595306396,,,,,,
13,299,,,,,,,0.5894814133644104,1.7085775136947632,1.897183895111084,6.39359712600708,-0.008153080940246582,2.5285563468933105,,,,,,
13,307,,,,,,,,,,,,,0.4677917957305908,2.214308261871338,2.406430721282959,10.844852447509766,-0.03593297302722931,3.1468088626861572
14,309,,,,,,,0.5080175399780273,1.751887321472168,1.9388421773910522,6.99425745010376,-0.024345874786376953,2.6446659564971924,,,,,,
14,319,,,,,,,0.48830410838127136,1.660690188407898,1.847322940826416,6.258609294891357,-0.03591907024383545,2.5017213821411133,,,,,,
14,329,,,,,,,0.4736842215061188,2.103658437728882,2.3008522987365723,8.241325378417969,-0.04346203804016113,2.8707709312438965,,,,,,
14,329,,,,,,,,,,,,,0.4677917957305908,2.2154409885406494,2.4074320793151855,10.855026245117188,-0.0368431955575943,3.1481919288635254
15,339,,,,,,,0.5197947025299072,1.6045968532562256,1.7915486097335815,6.000171661376953,-0.004987955093383789,2.4495248794555664,,,,,,
15,349,,,,,,,0.559359073638916,1.6937670707702637,1.8815621137619019,6.679302215576172,-0.026041507720947266,2.5844345092773438,,,,,,
15,351,,,,,,,,,,,,,0.4677917957305908,2.214820384979248,2.406873941421509,10.8499174118042,-0.03636275976896286,3.1474814414978027
16,359,,,,,,,0.5652492642402649,1.4437772035598755,1.6303410530090332,4.838845252990723,-0.0035016536712646484,2.199737548828125,,,,,,
16,369,,,,,,,0.5596797466278076,1.6635748147964478,1.8499342203140259,6.746601104736328,-0.0064231157302856445,2.5974221229553223,,,,,,
16,373,,,,,,,,,,,,,0.4677917957305908,2.2142493724823,2.406365156173706,10.844718933105469,-0.0358760766685009,3.1467602252960205
17,379,,,,,,,0.6092715263366699,1.5412437915802002,1.7283061742782593,5.602085113525391,-0.034324049949645996,2.366872549057007,,,,,,
17,389,,,,,,,0.5036443471908569,1.7355895042419434,1.9241480827331543,6.647649765014648,-0.006131291389465332,2.578303575515747,,,,,,
17,395,,,,,,,,,,,,,0.4677917957305908,2.2132174968719482,2.405465841293335,10.834844589233398,-0.03502018749713898,3.1454341411590576
18,399,,,,,,,0.49780702590942383,1.6191405057907104,1.8063300848007202,6.052134990692139,-0.018714308738708496,2.460108757019043,,,,,,
18,409,,,,,,,0.6018992066383362,1.7561410665512085,1.9448413848876953,6.9885454177856445,-0.030152320861816406,2.643585681915283,,,,,,
18,417,,,,,,,,,,,,,0.4677917957305908,2.213930606842041,2.406083345413208,10.842425346374512,-0.03560894355177879,3.146376371383667
19,419,,,,,,,0.5948904752731323,1.6726469993591309,1.861375093460083,6.202426910400391,-0.019103646278381348,2.4904673099517822,,,,,,
19,429,,,,,,,0.5886628031730652,1.9745591878890991,2.1671602725982666,8.346267700195312,-0.021942615509033203,2.888990879058838,,,,,,
19,439,,,,,,,0.4941176474094391,2.3294355869293213,2.52626371383667,9.528404235839844,-0.11891758441925049,3.0868113040924072,,,,,,
19,439,,,,,,,,,,,,,0.4677917957305908,2.2144408226013184,2.406531810760498,10.84733772277832,-0.036013562232255936,3.1470017433166504
20,449,,,,,,,0.561904788017273,1.4913322925567627,1.6760284900665283,5.289697170257568,-0.0293656587600708,2.299934148788452,,,,,,
20,459,,,,,,,0.4945375323295593,1.9559721946716309,2.1454904079437256,8.059961318969727,-0.011210799217224121,2.8390071392059326,,,,,,
20,461,,,,,,,,,,,,,0.4677917957305908,2.2132136821746826,2.4054644107818604,10.83496379852295,-0.034986406564712524,3.1454017162323
21,469,,,,,,,0.573401153087616,1.6813989877700806,1.8695093393325806,6.5211992263793945,-0.01237332820892334,2.553663969039917,,,,,,
21,479,,,,,,,0.4145985245704651,1.9173065423965454,2.105236530303955,7.655663967132568,-0.12758386135101318,2.7668869495391846,,,,,,
21,483,,,,,,,,,,,,,0.4677917957305908,2.2144949436187744,2.406644582748413,10.84605598449707,-0.035975005477666855,3.1469004154205322
22,489,,,,,,,0.48686128854751587,1.8532012701034546,2.041327953338623,7.47411584854126,-0.03448128700256348,2.7338829040527344,,,,,,
22,499,,,,,,,0.49559471011161804,1.8964389562606812,2.0855093002319336,7.711122989654541,-0.02994990348815918,2.776890993118286,,,,,,
22,505,,,,,,,,,,,,,0.4677917957305908,2.214001417160034,2.4062411785125732,10.840219497680664,-0.03556838631629944,3.146212577819824
23,509,,,,,,,0.5601750612258911,1.5426827669143677,1.7303117513656616,5.448966026306152,-0.006492137908935547,2.3343019485473633,,,,,,
23,519,,,,,,,0.4746008813381195,1.9661153554916382,2.15460205078125,8.142529487609863,-0.0138016939163208,2.8535118103027344,,,,,,
23,527,,,,,,,,,,,,,0.4677917957305908,2.214853286743164,2.4070029258728027,10.848051071166992,-0.03623540326952934,3.147249221801758
24,529,,,,,,,0.5018234848976135,1.8911420106887817,2.0810279846191406,7.789834499359131,-0.0010775327682495117,2.791027545928955,,,,,,
24,539,,,,,,,0.5652807950973511,1.7022655010223389,1.8895868062973022,6.405893802642822,-0.001350998878479004,2.530986785888672,,,,,,
24,549,,,,,,,0.3641618490219116,2.3138420581817627,2.504584550857544,9.954141616821289,-0.39202845096588135,3.1550185680389404,,,,,,
24,549,,,,,,,,,,,,,0.4677917957305908,2.2143092155456543,2.406536102294922,10.842720985412598,-0.035785023123025894,3.146555185317993
25,559,,,,,,,0.5109809637069702,1.6393851041793823,1.828110694885254,5.865856170654297,-0.0034579038619995117,2.421952962875366,,,,,,
25,569,,,,,,,0.5447924733161926,1.9260015487670898,2.1171860694885254,7.774331092834473,-0.005617260932922363,2.7882487773895264,,,,,,
