epoch,step,test_accuracy,test_loss,train_accuracy,train_loss,val_accuracy,val_loss
0,9,,,0.36135056614875793,1.1525851488113403,,
0,19,,,0.37931033968925476,1.1068073511123657,,
0,29,,,0.37212643027305603,1.1351478099822998,,
0,35,,,,,0.4124137759208679,1.060950517654419
1,39,,,0.40158045291900635,1.1228153705596924,,
1,49,,,0.3764367699623108,1.1211433410644531,,
1,59,,,0.4159482717514038,1.0767453908920288,,
1,69,,,0.3340517282485962,1.216383457183838,,
1,71,,,,,0.5926436185836792,1.0059751272201538
2,79,,,0.4080459773540497,1.1186197996139526,,
2,89,,,0.397988498210907,1.1102888584136963,,
2,99,,,0.43390804529190063,1.0677894353866577,,
2,107,,,,,0.6659770011901855,0.9607695937156677
3,109,,,0.4662356376647949,1.049573540687561,,
3,119,,,0.46408045291900635,1.0696529150009155,,
3,129,,,0.45474138855934143,1.081976294517517,,
3,139,,,0.5265804529190063,0.9949774146080017,,
3,143,,,,,0.6839081048965454,0.9228567481040955
4,149,,,0.48635056614875793,1.0239168405532837,,
4,159,,,0.5431034564971924,0.955540120601654,,
4,169,,,0.45330458879470825,1.1024565696716309,,
4,179,,,0.4597701132297516,1.0617420673370361,,
4,179,,,,,0.6972413659095764,0.8931211233139038
5,189,,,0.5545976758003235,0.9715542793273926,,
5,199,,,0.5438218116760254,1.0150582790374756,,
5,209,,,0.602729856967926,0.9021779298782349,,
5,215,,,,,0.6972413659095764,0.8711923360824585
6,219,,,0.6408045887947083,0.8565006256103516,,
6,229,,,0.460488498210907,1.1470816135406494,,
6,239,,,0.5502873659133911,1.0076490640640259,,
6,249,,,0.5545976758003235,1.0043781995773315,,
6,251,,,,,0.7039080858230591,0.8518550395965576
7,259,,,0.6429597735404968,0.8685915470123291,,
7,269,,,0.5316091775894165,1.0723739862442017,,
7,279,,,0.5984195470809937,0.9376055598258972,,
7,287,,,,,0.7039080858230591,0.8401930332183838
8,289,,,0.6336206793785095,0.8775866031646729,,
8,299,,,0.5962643623352051,0.9630951285362244,,
8,309,,,0.5352011322975159,1.0571285486221313,,
8,319,,,0.5991379022598267,0.9624592661857605,,
8,323,,,,,0.7039080858230591,0.8339299559593201
9,329,,,0.4504310190677643,1.1739304065704346,,
9,339,,,0.5574712753295898,1.0101566314697266,,
9,349,,,0.540229856967926,1.038268804550171,,
9,359,,,0.4636015295982361,1.1785345077514648,,
9,359,,,,,0.7039080858230591,0.8289795517921448
10,369,,,0.7514367699623108,0.754719614982605,,
10,379,,,0.4489942491054535,1.2312893867492676,,
10,389,,,0.6135057210922241,0.9755496382713318,,
10,395,,,,,0.7039080858230591,0.8267571926116943
11,399,,,0.5488505959510803,1.0491406917572021,,
11,409,,,0.4719827473163605,1.1603699922561646,,
11,419,,,0.5193965435028076,1.0924338102340698,,
11,429,,,0.767241358757019,0.7174867987632751,,
11,431,,,,,0.7039080858230591,0.8260371685028076
12,439,,,0.7004310488700867,0.8535792827606201,,
12,449,,,0.6788793206214905,0.8762819766998291,,
12,459,,,0.6925287246704102,0.856121301651001,,
12,467,,,,,0.7039080858230591,0.8264018297195435
13,469,,,0.5883620381355286,0.9990195631980896,,
13,479,,,0.5352011322975159,1.1009811162948608,,
13,489,,,0.6896551847457886,0.8576831817626953,,
13,499,,,0.5862069129943848,1.0050594806671143,,
13,503,,,,,0.7039080858230591,0.8265228271484375
14,509,,,0.6946839094161987,0.8561418652534485,,
14,519,,,0.7557471394538879,0.7686954140663147,,
14,529,,,0.6968390941619873,0.8489264845848083,,
14,539,,,0.7586206793785095,0.7580427527427673,,
14,539,,,,,0.7039080858230591,0.8273320198059082
15,549,,,0.6501436829566956,0.9272704124450684,,
